"Key","Position","Home","mean.weight","mean.nonweight","min","max","freq","Id","Name","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","NameRM","bonusPositionHome","deepBonus","mean"
"Datl","D",FALSE,5.669,5.705,5.66,5.75,2,"16502-12525","ATL","FanDuel","","",5.75,4200,"ATL","DEN","atl",0,-0.160779813775409,4.75753923570721
"Dbal","D",TRUE,7.253,7.585,7.17,8,2,"16502-12555","BAL","FanDuel","","",8,4400,"BAL","WAS","bal",0.0480384667235916,-0.034962955136974,6.08686401068696
"Dbuf","D",FALSE,8.23,10.35,7.7,13,2,"16502-12526","BUF","FanDuel","","",13,4600,"BUF","LA","buf",0,0.0524812416333507,6.90678213262839
"Dchi","D",FALSE,6.022,5.79,5.5,6.08,2,"16502-12527","CHI","FanDuel","","",5.5,4200,"CHI","IND","chi",0,-0.0742877413600139,5.05378396144449
"Dcin","D",FALSE,7.369,7.205,7,7.41,2,"16502-12528","CIN","FanDuel","","",7,4700,"CIN","DAL","cin",0,0.421084723907384,6.18421355228901
"Dcle","D",TRUE,5.302,5.39,5.28,5.5,2,"16502-12529","CLE","FanDuel","","",5.5,4000,"CLE","NE","cle",0.0480384667235916,-0.180171347654577,4.44954542736278
"Ddal","D",TRUE,6.352,5.64,4.75,6.53,2,"16502-12530","DAL","FanDuel","","",4.75,4500,"DAL","CIN","dal",0.0480384667235916,-0.125452449237474,5.3307266228986
"Dden","D",TRUE,9.256,10.92,8.84,13,2,"16502-12531","DEN","FanDuel","","",13,5100,"DEN","ATL","den",0.0480384667235916,0.0642356621977993,7.76782204369482
"Ddet","D",TRUE,6.084,5.38,4.5,6.26,2,"16502-12532","DET","FanDuel","","",4.5,4400,"DET","PHI","det",0.0480384667235916,0.132417053415934,5.10581561299041
"Dgb","D",TRUE,7.1636666667,6.4983333335,5.666666667,7.33,2,"16502-12533","GB","FanDuel","","",5.666666667,4600,"GB","NYG","gb",0.0480384667235916,-0.0920969216534654,6.01189367407887
"Dhou","D",FALSE,7.377,7.765,7.28,8.25,2,"16502-12556","HOU","FanDuel","","",8.25,4700,"HOU","MIN","hou",0,-0.254124866674914,6.19092731377881
"Dind","D",TRUE,6.211,4.895,3.25,6.54,2,"16502-12535","IND","FanDuel","","",3.25,4400,"IND","CHI","ind",0.0480384667235916,0.384239319315765,5.21239657664094
"Dla","D",TRUE,8.459,9.255,8.26,10.25,2,"16502-12538","LA","FanDuel","","",10.25,4700,"LA","BUF","la",0.0480384667235916,0.151918597034069,7.09896355527382
"Dmia","D",TRUE,7.071,6.595,6,7.19,2,"16502-12539","MIA","FanDuel","","",6,4600,"MIA","TEN","mia",0.0480384667235916,0.016714262369822,5.93412593679408
"Dmin","D",TRUE,10.207,13.115,9.48,16.75,2,"16502-12540","MIN","FanDuel","","",16.75,4800,"MIN","HOU","min",0.0480384667235916,-0.047303290290956,8.5659204407944
"Dne","D",FALSE,8.792,8.44,8,8.88,2,"16502-12541","NE","FanDuel","","",8,4800,"NE","CLE","ne",0,0.345648215053094,7.37842387728661
"Dnyg","D",FALSE,5.742,5.19,4.5,5.88,2,"16502-12543","NYG","FanDuel","","",4.5,4400,"NYG","GB","nyg",0,-0.0884517840328323,4.8188023093016
"Dnyj","D",FALSE,6.762,6.09,5.25,6.93,2,"16502-12544","NYJ","FanDuel","","",5.25,4100,"NYJ","PIT","nyj",0,-0.109493114822404,5.67480689925069
"Doak","D",TRUE,6.484,5.38,4,6.76,2,"16502-12537","OAK","FanDuel","","",4,4500,"OAK","SD","oak",0.0480384667235916,0.0396780652633333,5.44150368748025
"Dphi","D",FALSE,8.170666667,10.613333335,7.56,13.66666667,2,"16502-12545","PHI","FanDuel","","",13.66666667,4600,"PHI","DET","phi",0,-0.111596062070119,6.8569884018588
"Dpit","D",TRUE,7.27,6.15,4.75,7.55,2,"16502-12547","PIT","FanDuel","","",4.75,4900,"PIT","NYJ","pit",0.0480384667235916,-0.115535959464829,6.10113075385278
"Dsd","D",FALSE,5.526,6.07,5.39,6.75,2,"16502-12548","SD","FanDuel","","",6.75,4200,"SD","OAK","sd",0,-0.13435409003441,4.63753074907709
"Dten","D",FALSE,6.479,6.155,5.75,6.56,2,"16502-12534","TEN","FanDuel","","",5.75,4200,"TEN","MIA","ten",0,-0.0816180353727842,5.43730758654913
"Dwas","D",FALSE,6.393,5.885,5.25,6.52,2,"16502-12552","WAS","FanDuel","","",5.25,4300,"WAS","BAL","was",0,0.00181129139060854,5.36513465053381
"Kadamvinatieri","K",TRUE,8.536,9.52,8.29,10.75,2,"16502-6668","Adam Vinatieri","FanDuel","","",10.75,4700,"IND","CHI","adamvinatieri",-0.0115723100467722,-0.018550125996747,7.16358350961311
"Kandrewfranks","K",TRUE,6.525,5.625,4.5,6.75,2,"16502-62619","Andrew Franks","FanDuel","","",4.5,4500,"MIA","TEN","andrewfranks",-0.0115723100467722,-0.018550125996747,5.47591171511546
"Kblairwalsh","K",TRUE,7.715,8.175,7.6,8.75,2,"16502-22110","Blair Walsh","FanDuel","","",8.75,4600,"MIN","HOU","blairwalsh",-0.0115723100467722,-0.018550125996747,6.47458373672272
"Kbrandonmcmanus","K",TRUE,7.964,7.98,7.96,8,2,"16502-26247","Brandon McManus","FanDuel","","",8,4700,"DEN","ATL","brandonmcmanus",-0.0115723100467722,-0.018550125996747,6.68354956309264
"Kcalebsturgis","K",FALSE,7.294666667,8.793333335,6.92,10.66666667,2,"16502-30261","Caleb Sturgis","FanDuel","","",10.66666667,4700,"PHI","DET","calebsturgis",0,-0.018550125996747,6.12183151872606
"Kchrisboswell","K",TRUE,7.519,6.955,6.25,7.66,2,"16502-32058","Chris Boswell","FanDuel","","",6.25,4700,"PIT","NYJ","chrisboswell",-0.0115723100467722,-0.0124020104608973,6.3100965802227
"Kcodyparkey","K",TRUE,6.649,8.805,6.11,11.5,2,"16502-31280","Cody Parkey","FanDuel","","",11.5,4500,"CLE","NE","codyparkey",-0.0115723100467722,-0.018550125996747,5.57997501820731
"Kconnorbarth","K",FALSE,6.281,5.045,3.5,6.59,2,"16502-6427","Connor Barth","FanDuel","","",3.5,4500,"CHI","IND","connorbarth",0,-0.018550125996747,5.27114198967666
"Kdancarpenter","K",FALSE,6.762,7.09,6.68,7.5,2,"16502-6810","Dan Carpenter","FanDuel","","",7.5,4600,"BUF","LA","dancarpenter",0,0.0110695483793373,5.67480689925069
"Kdustinhopkins","K",FALSE,7.768,9.76,7.27,12.25,2,"16502-24912","Dustin Hopkins","FanDuel","","",12.25,4800,"WAS","BAL","dustinhopkins",0,0.0269397550700796,6.51906240659263
"Kgregzuerlein","K",TRUE,6.632,7.24,6.48,8,2,"16502-22109","Greg Zuerlein","FanDuel","","",8,4600,"LA","BUF","gregzuerlein",-0.0115723100467722,-0.018550125996747,5.56570827504149
